system:index,month,name,water,year,.geo
0_2_00000000000000000055,3.0,Pshdar,5582.752941176466,2013.0,
0_2_00000000000000000057,3.0,Rania,142227.27843137257,2013.0,
0_2_0000000000000000005b,3.0,Sharbazher,26.0,2013.0,
0_2_00000000000000000002,3.0,Al-Mussyab,43461.39215686274,2013.0,
0_2_00000000000000000030,3.0,Al-Hashimiya,5914.396078431372,2013.0,
0_2_00000000000000000033,3.0,Al-Hilla,14595.529411764703,2013.0,
0_2_0000000000000000003e,3.0,Al-Mahaweel,15875.200000000006,2013.0,
0_2_00000000000000000009,3.0,Al-Risafa,7808.196078431369,2013.0,
0_2_00000000000000000014,3.0,Al-Thawra,1050.5882352941176,2013.0,
0_2_00000000000000000023,3.0,Al-Adhamiya,3353.447058823529,2013.0,
0_2_00000000000000000035,3.0,Al-Kadhmiyah,41527.52156862745,2013.0,
0_2_00000000000000000038,3.0,Al-Karkh,8917.713725490192,2013.0,
0_2_0000000000000000003d,3.0,Al-Mada'in,29642.517647058856,2013.0,
0_2_0000000000000000003f,3.0,Al-Mahmoudiya,15295.639215686275,2013.0,
0_2_00000000000000000024,3.0,Al-Amadiya,2170.070588235294,2013.0,
0_2_00000000000000000048,3.0,Duhok,0.0,2013.0,
0_2_0000000000000000005e,3.0,Sumail,147.79607843137256,2013.0,
0_2_00000000000000000064,3.0,Zakho,39.74901960784314,2013.0,
0_2_00000000000000000001,3.0,Al-Muqdadiya,2763.2509803921566,2013.0,
0_2_0000000000000000001c,3.0,Baladruz,10347.0,2013.0,
0_2_0000000000000000001d,3.0,Baquba,1971.5450980392156,2013.0,
0_2_00000000000000000039,3.0,Al-Khalis,7721.470588235294,2013.0,
0_2_0000000000000000004f,3.0,Khanaqin,216721.96078431347,2013.0,
0_2_00000000000000000050,3.0,Kifri,1162.2745098039218,2013.0,
0_2_00000000000000000015,3.0,Al-Zibar,1335.5176470588235,2013.0,
0_2_00000000000000000049,3.0,Erbil,1321.592156862745,2013.0,
0_2_00000000000000000052,3.0,Koysinjaq,7057.035294117647,2013.0,
0_2_00000000000000000053,3.0,Makhmour,535.3450980392156,2013.0,
0_2_00000000000000000058,3.0,Rawanduz,3492.317647058824,2013.0,
0_2_0000000000000000005a,3.0,Shaqlawa,37.423529411764704,2013.0,
0_2_00000000000000000022,3.0,Ain Al-Tamur,224697.41568627447,2013.0,
0_2_00000000000000000034,3.0,Al-Hindiya,6033.086274509804,2013.0,
0_2_0000000000000000004e,3.0,Kerbela,80642.94117647059,2013.0,
0_2_00000000000000000032,3.0,Al-Hawiga,5687.380392156863,2013.0,
0_2_00000000000000000044,3.0,Daquq,15595.674509803925,2013.0,
0_2_00000000000000000046,3.0,Dibis,7628.262745098039,2013.0,
0_2_00000000000000000051,3.0,Kirkuk,3232.38431372549,2013.0,
0_2_00000000000000000017,3.0,Ali Al-Gharbi,72688.61960784314,2013.0,
0_2_00000000000000000025,3.0,Al-Amara,56654.37254901961,2013.0,
0_2_00000000000000000036,3.0,Al-Kahla,365181.0117647058,2013.0,
0_2_00000000000000000040,3.0,Al-Maimouna,121467.48627450984,2013.0,
0_2_00000000000000000042,3.0,Al-Mejar Al-Kabir,279848.7960784314,2013.0,
0_2_00000000000000000056,3.0,Qalat Saleh,3084.678431372549,2013.0,
0_2_00000000000000000000,3.0,Al-Mosul,17671.66666666667,2013.0,
0_2_00000000000000000010,3.0,Al-Shikhan,958.5098039215686,2013.0,
0_2_00000000000000000019,3.0,Aqra,18988.396078431375,2013.0,
0_2_00000000000000000026,3.0,Al-Baaj,82131.96078431373,2013.0,
0_2_0000000000000000002e,3.0,Al-Hamdaniya,14529.749019607845,2013.0,
0_2_00000000000000000031,3.0,Al-Hatra,30965.26274509804,2013.0,
0_2_0000000000000000005d,3.0,Sinjar,169.0,2013.0,
0_2_00000000000000000060,3.0,Telafar,66861.68235294118,2013.0,
0_2_00000000000000000062,3.0,Tilkaef,5273.482352941177,2013.0,
0_2_00000000000000000011,3.0,Al-Shirqat,14235.423529411764,2013.0,
0_2_0000000000000000001b,3.0,Balad,850060.4470588225,2013.0,
0_2_0000000000000000001e,3.0,Beygee,30885.752941176484,2013.0,
0_2_00000000000000000029,3.0,Al-Daur,30744.760784313723,2013.0,
0_2_00000000000000000059,3.0,Samarra,751896.321568627,2013.0,
0_2_00000000000000000061,3.0,Tikrit,21374.839215686286,2013.0,
0_2_00000000000000000063,3.0,Tooz Khurmato,70510.06666666662,2013.0,
0_2_00000000000000000005,3.0,Al-Nasiriya,152240.49803921545,2013.0,
0_2_00000000000000000008,3.0,Al-Rifai,11358.427450980393,2013.0,
0_2_0000000000000000000f,3.0,Al-Shatra,19889.474509803924,2013.0,
0_2_00000000000000000028,3.0,Al-Chibayish,644806.8627450981,2013.0,
0_2_0000000000000000005f,3.0,Suq Al-Shoyokh,225939.6352941175,2013.0,
0_2_00000000000000000004,3.0,Al-Namaniya,214221.65490196075,2013.0,
0_2_00000000000000000013,3.0,Al-Suwaira,47235.30980392157,2013.0,
0_2_0000000000000000001a,3.0,Badra,36529.63529411772,2013.0,
0_2_0000000000000000002d,3.0,Al-Hai,3525.913725490196,2013.0,
0_2_0000000000000000003c,3.0,Al-Kut,252906.10588235297,2013.0,
0_3_00000000000000000007,4.0,Al-Ramadi,807929.8117647055,2013.0,
0_3_0000000000000000000b,4.0,Al-Rutba,8755.0,2013.0,
0_3_00000000000000000018,4.0,Ana,216368.1843137253,2013.0,
